Apple ID Number,Order Number,Item Purchased Date,Content Type,Item Reference Number,Item Description,Seller,Device Identifier,Device Details,Device IP Address
1332525800,R5SLF047MB1,2019-12-14T07:09:15Z,iOS and tvOS Apps,1090934862,Moon Climbing - MoonBoard,Webelectrix,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",1.129.111.166
1332525800,R5SLDX057T0,2019-12-13T05:41:56Z,iOS and tvOS Apps,828256236,Medium,A Medium Corporation,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",1.129.110.138
1332525800,R5SLDMXQQYW,2019-12-11T07:31:56Z,iOS and tvOS Apps,1446075923,Disney+,"Disney Electronic Content, Inc.",4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",203.219.253.12
1332525800,R5SLD3HZX9J,2019-12-05T12:36:53Z,iOS and tvOS Apps,310251202,CommBank,Commonwealth Bank of Australia,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"com.apple.AppStore.ProductPageExtension/1.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",1.129.108.157
1332525800,R5SL9DX6H55,2019-11-17T12:38:52Z,iOS and tvOS Apps,1174114204,ACT Cabs - Book & Track,ACT Cabs Pty Ltd,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",193.119.52.84
1332525800,R5SL9D43GT4,2019-11-17T03:49:15Z,iOS and tvOS Apps,1376029326,Codecademy Go,"Ryzac, Inc.",4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",193.119.52.84
1332525800,R5SL8MFSV8F,2019-11-09T22:20:55Z,iOS and tvOS Apps,1215606098,GIF Maker - Make Video to GIFs,Brain Craft Ltd,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",1.129.107.225
1332525800,R5SL6GZY8F2,2019-10-18T22:51:56Z,iOS and tvOS Apps,1353634006,Google Tasks: Get Things Done,Google LLC,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",220.240.6.188
1332525800,R5SL4Z4Q9WY,2019-10-04T02:05:42Z,iOS and tvOS Apps,1227650795,Decibel : dB sound level meter,Vlad Polyanskiy,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",1.129.111.52
1332525800,R5SL3KSFJ4F,2019-09-19T07:12:13Z,iOS and tvOS Apps,1199564834,"Adobe Scan: PDF Scanner, OCR",Adobe Inc.,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"com.apple.AppStore.ProductPageExtension/1.0 iOS/12.4.1 model/iPhone8,2 hwp/s8003 build/16G102 (6; dt:142)",61.69.148.22
1332525800,R5SL2KZSXYT,2019-09-04T23:56:55Z,iOS and tvOS Apps,1461702710,First State Super,FSS Trustee Corporation,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4 model/iPhone8,2 hwp/s8003 build/16G77 (6; dt:142)",61.69.148.22
1332525800,R5SL29WFV8H,2019-09-01T00:12:59Z,iOS and tvOS Apps,953517029,My Chord - easy play chord,Toshikazu Fukuoka|8095987158,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4 model/iPhone8,2 hwp/s8003 build/16G77 (6; dt:142)",1.125.106.102
1332525800,R5SL29WDQZ7,2019-09-01T00:11:24Z,iOS and tvOS Apps,1339399661,Chord Progression Generator,Michael Krautsieder,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4 model/iPhone8,2 hwp/s8003 build/16G77 (6; dt:142)",1.125.106.102
1332525800,R5SL1ZMFQLW,2019-08-26T19:41:43Z,iOS and tvOS Apps,573751328,TapeACall: Call Recorder,Epic Enterprises LLC,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.4 model/iPhone8,2 hwp/s8003 build/16G77 (6; dt:142)",1.125.109.69
1332525800,R5SL1GS1GQQ,2019-08-19T00:24:05Z,iOS and tvOS Apps,640437525,Qantas Airways,Qantas Airways Ltd,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.3.1 model/iPhone8,2 hwp/s8003 build/16F203 (6; dt:142)",1.125.106.82
1332525800,R5SKZZ0YGDH,2019-07-26T04:46:38Z,iOS and tvOS Apps,510623322,MAPS.ME – Offline Map & Nav,My.com B.V.,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.3.1 model/iPhone8,2 hwp/s8003 build/16F203 (6; dt:142)",1.129.107.117
1332525800,R5SKZV1B04F,2019-07-24T05:36:44Z,iOS and tvOS Apps,1206449238,Tone Generator: Audio Sound Hz,TMSOFT,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.3.1 model/iPhone8,2 hwp/s8003 build/16F203 (6; dt:142)",1.144.109.216
1332525800,R5SKZ4Z1JT9,2019-07-14T03:02:59Z,iOS and tvOS Apps,1091700242,Gboard – the Google Keyboard,Google LLC,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.3.1 model/iPhone8,2 hwp/s8003 build/16F203 (6; dt:142)",1.144.105.176
1332525800,R5SKXVWY95M,2019-06-24T06:30:07Z,iOS and tvOS Apps,546505307,ZOOM Cloud Meetings,"Zoom Video Communications, Inc.",4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.3.1 model/iPhone8,2 hwp/s8003 build/16F203 (6; dt:142)",1.129.105.12
1332525800,R5SKWG9DX90,2019-06-03T00:40:04Z,iOS and tvOS Apps,400989007,Google Play Books,Google LLC,4d09c5bfe3dfe758cf0a794309c8b24962105ec9,"AppStore/3.0 iOS/12.2 model/iPhone8,2 hwp/s8003 build/16E227 (6; dt:142)",144.139.183.128
